id,business_id,name,address,latitude,longitude,stars,mainCategory,generalCategory
21,5Qoq8cif3nMCQUN-urH8YA,The Pickle Barrel,1 Yorkdale Road,43.7246888,-79.4538904,2.5,canadian,Canadian
22,DtzDpAflD41-rI6njywacw,Gino's Pizza & Wing Machine,2387 Yonge Street,43.7097839401,-79.3988528475,2,pizza,American
23,NoT7u2QNEvsVbH9MIzAzlw,Si Lom Thai Bistro,534 Church Street,43.6650073,-79.3808111,4,thai,Southeast Asian
24,1Epby_tsFDci4sP0Nbjwsw,Pho Vietnam,1280 Kennedy Rd,43.7577305,-79.2786325,3,vietnamese,Southeast Asian
25,yWwIUmeenyAO7nwc7U0U5A,Niwan Rolls King,3260 Midland Avenue_ Unit F101 & 102,43.804666915,-79.2867640033,3,chinese,East Asian
26,t_XpjR3_Cf7r9tj3w3vAbw,The Beech Tree,924 Kingston Road,43.6803871,-79.2888628,4,british,Northern European
27,yDJhScdD8cCCYfO4WNb-CQ,C'est Bon,2685 Yonge St,43.7168341,-79.4001043,3,chinese,East Asian
28,F-bdXFkJwwENiNpMTG2ntQ,The 3 Brewers,275 Yonge St,43.6555236,-79.3802224,3,burgers,American
29,c78Pat78fVUBFPXYeVvbaQ,Odd Seoul,90 Ossington Avenue,43.64619,-79.419686,4,korean,East Asian
30,2Xh-ZYlvm1SxcKdEaD51DA,Budapest Restaurant,1959 Gerrard Street E,43.6810473,-79.3100172,4.5,hungarian,Central European
31,IflW1yOEcNQrB2SWxHKoSg,The Poet Cafe,173 King Street E,43.6504042,-79.3711469,4,tapas,Southern European
32,UVRgPeUS5-pxGVK7OLl0Zw,The Hummingbird Caribbean Cuisine,1276 Queen Street  E,43.6636872,-79.3287741,3.5,carribean,African
33,2aIgbnGUg8VC0u9iXO-wnQ,O Sushi,6 Coxwell Avenue,43.6666242,-79.3168123,3.5,sushi,East Asian
34,4vTDFobDGaiI-diLF5TKkQ,D & Y Sushi,2861 Dundas Street W,43.665152,-79.4650118,3.5,japanese,East Asian
35,wWjDMAy3NjpuIN64fASGfQ,The Little Dog,566 College Street,43.6557382,-79.412564,3,hotdogs,American
36,VIsPmeZBMLkgbgw4UqCjUQ,AAA Bar,598 Gerrard Street E,43.6658422,-79.3519276,3,barbeque,American
37,z8H4Mdzl4jS9pYswj6Jf9w,Buca Yorkville,53 Scollard Street,43.6721423,-79.3893921,3.5,italian,Southern European
38,a9aW5e731lplWGHUZ02-zQ,Chino Locos Original,4 Greenwood Avenue,43.6644821,-79.3255005,4,mexican,Latin American
39,k7D1eFxN-_Ry491C-RiMpw,Wild Wing,1571 Sandhurst Circle,43.8092547,-79.2696046,2,american,American
40,ZcO6xKyETimcLjAkDiLQPQ,Manhattans Hand-Made Burgers,333 Bay Street,43.6503406,-79.3805207,3.5,burgers,American
41,Pf8flcMF3hco_rG0EdUGog,Bbreakfasts,1121 Bay Street,43.6680033,-79.3885578,3,burgers,American
42,A4aqz0pfgMX-votNbSZQDA,Modus Ristorante,145 King Street W,43.6474686,-79.3839517,3.5,italian,Southern European
43,IZI9BdElfGB-WcHpd7Wg7Q,Pho Dai Nam,462 Birchmount Rd,43.7069859,-79.2681482,4,vietnamese,Southeast Asian
44,vl_LNtimh_DMxZ1YQfl8aA,Magic Oven,127 Jefferson Avenue,43.6396613343,-79.4219483696,2.5,pizza,American
45,xNNAfZJkLZlAeS-I7-QwgA,Pho Tien,358 Bathurst Street,43.6527045,-79.406407,3.5,vietnamese,Southeast Asian
46,fo_w5L2x00wS4NMHzE8oyg,Sandoozles Smokehouse & Pub,709 Mount Pleasant Road,43.7074876432,-79.3896615989,2.5,barbeque,American
47,ZCYCNWA98718SZ0A4bHD7A,Dear & Fro,3300 Midland Avenue_ Unit 39,43.8067504,-79.2888581,3.5,korean,East Asian
48,x4q_kJ-dvaHL7dkpZKJUdg,Bob's Bulgogi,105 Victoria Street,43.652139,-79.377507,4,korean,East Asian
49,4ZNr_HOSCXMCzY4xN4WACA,Toucan Tacos,686 Queen Street E,43.6587449,-79.3507401,2.5,mexican,Latin American
50,G2yY7OdcwX71jCkKP1-Efg,Potman Hotpot,633 Silver Star Boulverd_ Unit 110-111,43.8219517,-79.2984027,4,hot pot,East Asian
51,l07ctcrDMV--TYwe3uzebQ,Huh Ga Ne,19 Finch Avenue W_ Unit A,43.7791694,-79.4172467,3.5,korean,East Asian
52,-PKUAor_Nz_IaNjP_jIwyA,Playa Cabana - Hacienda,14 Dupont Street,43.6770684,-79.3981842,3.5,mexican,Latin American
53,cbxyYUsJMWk1oEgzfoJ28A,Il Gusto Ristorante,796 College St,43.6547935,-79.4213405,3,italian,Southern European
54,I57O9xjahLTtx22El93f4g,Arepa Market,214 Augusta Ave,43.654787,-79.4021369,4,sandwiches,Northern European
55,Pejzx2YgZvywGXJo-thfnw,Pepper Chili,368 Avenue Broadview,43.665329,-79.3528595,3,chinese,East Asian
56,e084b0uMSnEP7-PYlmAKbA,Lick's Homeburgers & Ice Cream,900 Warden Avenue,43.7294443,-79.288563,2,burgers,American
57,gS9MphCeLc9JzUrEOEA4_Q,1 Love Kitchen,247 Queen Street W,43.6502718,-79.3887054,3,carribean,African
58,j76FtDF70w93QKrcnT9AMA,Matahari Grill,39 Baldwin St,43.6558884,-79.3935888,3,malaysian,Southeast Asian
59,D5oLn4j7eezCAoOsuYr8jA,ND Sushi & Grill,370 College St,43.6572686,-79.4046849,4,sushi,East Asian
60,a23aElEgvCFhxdtqdzh7bg,Bow Thai Restaurant,1970 Queen Street E,43.6698968,-79.3015456,3,thai,Southeast Asian
61,rl137V_5Hx0cJAV4beVdhA,Campechano Taquería,504 Adelaide Street W,43.6458109,-79.4007718,4,mexican,Latin American
62,BZmZ9TTYkDe-Nm2UNAYzQQ,The Friendly Thai,500 Queen St W,43.647936,-79.4012531,2.5,thai,Southeast Asian
63,uFNM9ICvZN0TEbURIpiIDQ,Chinese Dumplings,645 St. Clair Avenue W,43.681847,-79.424241,3.5,chinese,East Asian
64,s8N66BJ9P-sqhisX47o1Sg,Roti Time,2542 St Clair Ave West,43.6682846,-79.487228,3.5,indian,South Asian
65,7UPTUpex3O1Gav3td7GOEw,South St Burger Co,1090 Don Mills Rd,43.7364416,-79.344201,3,burgers,American
66,ogUiKg4hL01zt2o2M5IZ3w,Ame,19 Mercer St,43.6456899,-79.3905064,3.5,japanese,East Asian
67,ck-5NFpK8CQsUMD4LHaf5w,Swan Restaurant,892 Queen Street W,43.6452774,-79.4149396,3.5,american,American
68,qhagbvK-Pv4cGGghJ7gXBA,Konnichiwa,31 Baldwin Street,43.6558544,-79.3932809,4,japanese,East Asian
69,AakkkTuGZA2KBodKi2_u8A,Pho Phuong,1603 Dundas Street W,43.6496743,-79.4351157,3.5,vietnamese,Southeast Asian
70,h8bJb1dIwPmUGiqstCy7lw,Apalla,811 Queen Street W,43.6460848,-79.4090059,4,indian,South Asian
71,OP9iJKhKQ39PJnhk0G_ZrA,McDonald's,3030 Don Mills Road E,43.7853540962,-79.3512418086,3,burgers,American
72,iByQmTmTdO7hP4n1grSSWQ,Rikishi Japanese Restaurant,833 Bloor Street W,43.6624171,-79.4228715,4,japanese,East Asian
73,5SiHMFPhwuWZ4VaZB13Hzw,Poutini's House of Poutine,617 King Street W,43.6441190136,-79.4009630755,4,poutine,Canadian
74,gy5pr5bFAjOL5rERSdMCLg,The Keg Steakhouse + Bar - York Street,165 York Street,43.6499945,-79.3839517,4,steakhouse,American
75,OJ6zfenoK-eBNI7vvNrOsg,Fieramosca,36A Prince Arthur Avenue,43.6695529,-79.397355,4.5,italian,Southern European
76,PlNwT37ZahtL-3GRHQ7mVg,Cardinal Rule,5 Roncesvalles Avenue,43.6390827,-79.4460771,3.5,american,American
77,rVdadAcPeUXjcIHxoO8cGQ,Dukem Restaurant,950 Danforth Avenue,43.6803779,-79.3381599,4,ethiopian,African
78,-hXocgx4xqs9dv_l0jiZZg,Rawlicious,785 Bathurst Street,43.6646402,-79.41087,4.5,salads,Southern European
79,3MZ_H6D9jQFX1tBUIh_Iiw,Simply Thai Cuisine,2253 Bloor Street W,43.6506762,-79.4775585,3,thai,Southeast Asian
80,UGG8EIfEfAIbyGhgLIX7Mw,Thai Bright,109 McCaul Street,43.654110935,-79.3911450964,3.5,thai,Southeast Asian
81,Wgx9dIK-EPS9xl62fSZlFw,Café Taste,1330 Queen St W,43.6416745,-79.4316079,3.5,tapas,Southern European
82,ldUwLnF4grOEXE-LXN94QA,Kalyvia On the Danforth,420 Danforth Avenue,43.6777591,-79.3509223,3.5,greek,Southern European
83,l8zJEkw4cNOcNzaLR_Gctw,Tandori,777 Bay St,43.6604836,-79.3844582,1.5,indian,South Asian
84,LOEZ8zDGly7s-laA1OBIEw,Bricco Wine Bar,3047 Dundas Street W,43.6654047,-79.4710144,3.5,italian,Southern European
85,fJAWn77rOLON08wli_AQ2Q,Burger King,1607 Birchmount Road,43.7638012,-79.2912268,3,burgers,American
86,3HwLDQhV8nS4mgWFtRMA5A,Striker,31 St Joseph Street,43.6656779452,-79.386706464,2.5,american,American
87,Xt2aQqrMzuABBvb82sK-Hw,McDonald's,121 Front Street E,43.6494672,-79.3704014,1.5,burgers,American
88,op0GPkK8YtpTQxSq80lEpw,Pizza e Pazzi,672 St. Clair Avenue W,43.6820353,-79.4254574,3.5,italian,Southern European
89,a7Zcx-qVTLrMvBaod7MXbw,Porto Rotisserie House,1370 St Clair Avenue W,43.67662,-79.4497558,3.5,portuguese,Southern European
90,vmQKPYE46edrPQDc1vBMDA,City Fried Chicken and Pizza,990 Danforth Avenue,43.6804889,-79.3375786,4,pizza,American
91,oYCx5gO4KkkgYPnglSkk5g,PROP,770 St Clair Ave W,43.6812824,-79.4287282,3,italian,Southern European
92,_qh5RDI84nVGwZiYDvCoyw,Al Pastor,2982 Dundas Street W,43.665455,-79.468919,3,mexican,Latin American
93,fjta0a2h-LYWOWBgJGVpwg,Thai Shan Inn,2404 Dufferin Street,43.6969621382,-79.4510810184,3,thai,Southeast Asian
94,v-z5Tw5ds2sEvtk3Kj5x4w,Yupdduk,24-30 Finch Avenue W,43.7793264,-79.4175692,3,korean,East Asian
95,wYFQMJytgwoMuan0Aa4ByA,Ivory Thailand,81 Church St,43.6517653,-79.3750185,3.5,thai,Southeast Asian
96,X5mxIQ1Ry_58QzuyUxV_Eg,Joyous Thai,1500 Royal York Road_ Unit 20 21,43.6916836,-79.5319995,2.5,thai,Southeast Asian
97,3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,1056 Bloor St. W,43.6605669,-79.4325733,4,southern,American
98,fN_I3jP7RD2llubTvhXtKQ,The Good Fork,2432 Bloor Street W,43.6495697,-79.4840826,4,canadian,Canadian
99,LrrJW6ejsVL7hADfFy87Eg,EatThai,5195 Yonge Street,43.7704408,-79.4129859,3.5,thai,Southeast Asian
100,U0S6YqfxHWWJBWPwjUXcLQ,Wendy's,4 Lebovic Avenue,43.7261916,-79.291823,3,burgers,American
101,0cITagiY3ytdRh6shZInxw,Truly Thai Cuisine,2364 Yonge Street,43.7086903,-79.3990274,2.5,thai,Southeast Asian
102,dDYbnQHBi0dqZH2kmiNaSA,Pho Jade,1208 Bloor Street W,43.6593265,-79.4384773,3.5,vietnamese,Southeast Asian
103,VADsDteqi8ac5-egcloI3w,Elite Restaurant & Banquet Hall,1118 Finch Avenue W,43.7672739,-79.4747079,4,russian,Multicultural
104,aO94Wsh2VzrgdCXu26OJEQ,The Greek Grill,128 O'Connor Drive,43.693571,-79.350145,4,greek,Southern European
105,rb6QPjjuogZ9_3S6oGsgGQ,White Elephant Restaurant & Bar,366 Queen Street E,43.6558084931,-79.363685064,4,thai,Southeast Asian
106,_HqZL3gK98-Q4ObAoyM1aw,Rose and Sons Swan,892 Queen Street W,43.6450406075,-79.414875227,4,american,American
107,0gj8bpTF6I6T_C5xyBUafw,Arden Fast Food,3833 Midland Ave_ Suite 9C,43.8139148,-79.2915342,3,chinese,East Asian
108,UeyTFWMLCopiZQ9ZIfmXfA,Ici Bistro,18 St. Thomas Street,43.6688084,-79.3905524,3,french,Western European
109,CPZwngSfv-5OpQ3iQZOrsQ,Tim Hortons,1277 York Mills Road,43.7606862502,-79.3266298622,2.5,sandwiches,Northern European
110,1GWSJbsVfKCPXIYPap6nIA,Oishii Japanese Ramen,3280 Midland Avenue,43.8060074142,-79.2881869152,2,japanese,East Asian
111,yZsVStKgRul_oNjHsV99LQ,Kibo House Sushi and Cafe,701 Saint Clair Avenue  W,43.6814409,-79.4263448,3,sushi,East Asian
112,yUO7zPWGbumX42UzjbuBmw,Subway,548 Church Street,43.6654189,-79.3810194,2,sandwiches,Northern European
113,S5bNE4Pmin8OQUMOFod8bQ,Ciao Wine Bar,133 Yorkville Avenue,43.6704754,-79.3936453,3,italian,Southern European
114,NOz8W_cUV3Dw5yLgFkKLGw,The Yellow Griffin,2202 Bloor St W,43.6514389,-79.475629,3,burgers,American
115,X29BLACjBhOg_P2USv07dA,Trendee Chinese Cuisine,66 Overlea Boulevard,43.7082593775,-79.3425049654,3.5,chinese,East Asian
116,js9rQZAlA5rr7oSBRRcCDw,Dimmi Bar & Trattoria,140 Cumberland St,43.6700945,-79.3926771,3.5,italian,Southern European
117,o37mk94tQ3UyQOOxDXQo8A,Grill Cottage,1468 Queen Street W,43.6406358682,-79.4367561489,4.5,falafel,Middle Eastern
118,TLfBvo601IBNSkvymQnnZQ,Dominos,107 344 Front Street W,43.6433776,-79.3920218,1.5,pizza,American
119,U1LB3sRMGTu_h7Sf9QdNoA,Le Neuf Café,9 Clarence Square,43.6447463,-79.3937551,3.5,french,Western European
120,Dvhg57y-SOcKty6WTG1XDw,Boil King,333 King Street W,43.646035,-79.3911778,4,cajun/creole,Western European
121,UrV2WIaiFHRI8xxOZ00g0w,Parlor Foods & Co,333 King Street W,43.6461508,-79.3912498,4,canadian,Canadian
122,bY-4nSmbowNdAdrch0P9Tw,Corks Beer & Wine Bars,93 Laird Drive,43.7056909,-79.3616027,4.5,canadian,Canadian
123,C75UPn41Uq2DJNCP74uTDw,Liberty Noodle,220 Yonge Street,43.6572682,-79.3814178,2,japanese,East Asian
124,hJda5g5v_2rT3D-3mSf7cQ,Tequila Sun Rise Cantina & Grill,212 Adelaide Street W,43.6485947,-79.3874525,2.5,mexican,Latin American
125,jWfmC3iXaPLBmrAFfK2QeA,Sakura Japanese Restaurant,4700 Keele Street,43.7742392,-79.5014316,2,japanese,East Asian
126,7yRLFyhvaY5Nck3iSKDmxQ,Edo,2901 Bayview Avenue,43.7690883,-79.3854655,3.5,japanese,East Asian
127,mdBaC30kgcWfAyF1O8anOw,Kim Bo Restaurant,358 Bathurst Street,43.6527094,-79.4063126,4,vietnamese,Southeast Asian
128,im8sxT2V-drSvxP17qdb2A,Sicilian Sidewalk Cafe,712 College Street,43.6553573,-79.4185968,3.5,italian,Southern European
129,as5StqV9pbDhUM0AYP_j9g,Kim Moon Bakery,438 Dundas St W,43.6535087,-79.3957156,3.5,chinese,East Asian
130,rubQx8VlHZT4_IyMUs75YA,South St. Burger,2383 Yonge Street,43.7097968,-79.398598,3,burgers,American
131,y4GgOCMonFP5G1eZEdbcYg,Zante Bistro,1950 Gerrard Street E,43.680955053,-79.3104485795,4,greek,Southern European
132,Y1jrsVAWK1bFC_s1CJmICw,Go Topoki,5 Northtown Way_ Unit 5,43.7748838435,-79.4140006774,4,korean,East Asian
133,23Dg53bT4WIJDK26WPR7vQ,Maru & Maru Sake Bar,5347 Yonge Street,43.7748988251,-79.4141480213,3.5,japanese,East Asian
134,50LSp1WnwMA3PMXXvXDj0Q,Pizzaiolo,865 York Mills Road,43.7540931,-79.3495479,3,pizza,American
135,uAPMb111euz5jJF8_VeO2A,La Casita Chinese Eatery,405 Dundas Street W,43.6535911,-79.3948254,3,chinese,East Asian
136,SrnFpeMfMB40Rd6Z9N1lbg,Home Sweet Home,1 Whitehorse Road,43.7552182,-79.4685428,4.5,turkish,Middle Eastern
137,gaSP19bI-CJZ-yRA4lvoUw,Sushi Island,571 College Street,43.6550859,-79.4128022,2.5,sushi,East Asian
138,5f13F6HZgLoARSdXECfLAw,Real Thailand Restaurant,570 Bloor Street W,43.6652462,-79.4118851,3.5,thai,Southeast Asian
139,mHV6YRI_KWIUsVtI4qXJkg,China Town,1790 Jane Street,43.7064074,-79.5048956,2,chinese,East Asian
140,xVHzCbDWCwmyavF5PgJRmg,Not Just Noodles,570 Yonge Street,43.6649906,-79.3847491,3.5,chinese,East Asian
141,l57pPj8XxRxmzsplMCeV9w,The Gem,1159 Davenport Road,43.6746075642,-79.4320964813,3,american,American
142,BrMqGmsqIqa_Qjyk4EiFGA,Colombo's Pizza,1794 Danforth Avenue,43.6845136,-79.3188248,3,pizza,American
143,DV341cpTqEDdT3_iST3Sgw,3 Eggs All Day Pub & Grill,936 Eglinton Avenue W,43.7005187,-79.4284633,3,american,American
144,vfyoss5fp967SopQ2Zt-eg,Lin's Chinese Bun,4188 Finch Avenue E_ Unit 18,43.804434,-79.288432,4,chinese,East Asian
145,TVLAvAFx0FqAkKGKHVjHpQ,Freshii,140 Spadina Avenue,43.6477264,-79.3962471,3,sandwiches,Northern European
146,2jfkLlCWymebnlveEPLUbg,Hero Certified Burgers - Spadina & Lonsdale,413 Spadina Road,43.6885283463,-79.4125498689,3,burgers,American
147,7IOt1SahnsyuMwTcuZgFLQ,Melt Grilled Cheese,300 Richmond Street,43.6490226,-79.3915508,3,sandwiches,Northern European
148,bl0GSLa6DvLXCvhAw5DVUg,The Pie Commission,887 Dundas Street W,43.6509535,-79.4117579,4.5,canadian,Canadian
149,jzveTy7ogH7cg9axZ78ENg,Bar Koyoi Restaurant North York,5347 Yonge Street,43.7749233,-79.4142464,3,japanese,East Asian
150,DiCMYxT69I22-1nfsvYAJQ,Gourmet Burger Co,482 Parliament Street,43.6646828,-79.3682793,3.5,burgers,American
151,mES9E5K4HbYoPFXGv0pUuw,Como En Casa,565 Yonge Street,43.6653391464,-79.3844996651,4,mexican,Latin American
152,6xowh_GdOsRrz9QWN6nMxA,Uncle Tetsu's Japanese Angel Cafe,191 Dundas Street W,43.6549231,-79.3867949,3.5,japanese,East Asian
153,LMyeQgw0qO91iCnkltDI4A,teashop 168,316 College,43.6576853,-79.4023603,3.5,taiwanese,East Asian
154,FQr_scgz9a4sXTdRS4d3mg,Paramount Fine Foods,1250 Bay Street,43.6706282,-79.3903515,3,lebanese,Middle Eastern
155,rsiW1dz9FD1EfNPoDfaDDQ,Thai Green Chili,1059 Bloor St W,43.6603506,-79.4324956,2.5,thai,Southeast Asian
156,BZInFfFFCne6n3zmzg8zzA,Starbucks,Scotia Plaza_ 40 King Street W_ Unit M128,43.6497992662,-79.3793812386,3.5,sandwiches,Northern European
157,LnnYY4EmHGl_r1dQiqy5rw,Pita Ikram,530 Oakwood Avenue,43.6923149,-79.4409185,3.5,falafel,Middle Eastern
158,eMmIawsYRgi0S_4dBsOPoA,The Jerk Spot,799 King Street W,43.6428729,-79.4070948,2,carribean,African
159,ZTrkiSudc8vL3NB2N7XFJw,Nostalgia Coffee Company,855 O'Connor Drive,43.7068179377,-79.3116290867,4,sandwiches,Northern European
160,nIskoP3-_MttghA3d-eYBA,La Chilaca Taqueria,214 Augusta Avenue,43.654581,-79.4024681,4.5,mexican,Latin American
161,dZVMp70AuSa4dQPvx3J4ow,Gourmet Burger,9 Charles Street W,43.6685154,-79.3868092,3,burgers,American
162,E4IXpaTXmaE3h48Ag2YUAw,Ravi Soups,2535 Dundas Street W,43.661585,-79.455197,4.5,sandwiches,Northern European
163,jo4nS-avhKux4IFwFCsrvw,California Thai,10 Dundas St E,43.6570197,-79.3804447,2,thai,Southeast Asian
164,YRWGkDCSVVu6LU5tOjMGyQ,Swiss Chalet Rotisserie & Grill,2955 Bloor St W,43.647743,-79.5083723,2.5,american,American
165,LWI8ULsw0X1FpInux4Tg5Q,Martino's Pizza & Asian Fusion Kitchen,178 Dupont Street,43.675568,-79.4036442,4,pizza,American
166,s-p2hqOR47ffQKYzZtMV-A,Kenly's Noodle,4227 Sheppard Avenue East_ Unit B1,43.785592,-79.2774536,2.5,chinese,East Asian
167,09RUPz3SuUMtha65nUH3_g,Taste of Mediterranean,115 Front Street E,43.6494762,-79.3707486,1.5,greek,Southern European
168,PEFYGIOCMSTSga1_qx2C1w,McDonald's,1890 Avenue Road,43.7325229,-79.4198059,2,burgers,American
169,6a7zecn8W8r9dDWwQVb6aA,Novecento,1228 Saint Clair Avenue W,43.6775605,-79.4451386,4.5,italian,Southern European
170,cfT6rmhWvUnbEqfKXhwxYw,Cafe Neon,1024 Queen Street W,43.6442043,-79.4196947,4,sandwiches,Northern European
171,x-38eLYLb2wi3jsbd8QOAg,Parma Pizza,716 Scarlett Road,43.695468,-79.520634,4.5,pizza,American
172,xjYAqZKDP3xnWOeJ4FGs_A,The O Bar,712 Bloor Street,43.6638646,-79.4179249,4,korean,East Asian
173,kIrjc7PrdoSpEubQ_aszdw,Green Eggplant Restaurant,1968 Queen Street E,43.6700296,-79.30173,3.5,canadian,Canadian
174,02BXFKzu1rgaYulNGYvi6g,Matsuda Japanese Cuisine,5651 Steeles Avenue E,43.831795518,-79.2663108185,3,japanese,East Asian
175,kstK3o4ZLOEsWyy_vPVQrg,Steady's Jamaican Home Cooking,852 Pape Avenue_ Unit 2,43.6839915,-79.3467715,4.5,carribean,African
176,n-y6kw55Tn-5Get2TkWgeA,Rebozos,126 Rogers Road,43.6848497319,-79.4490480423,3,mexican,Latin American
177,HUmMi38yNUdC9scTW4oJjQ,Thai Island,TD Centre Foodcourt_ 100 Wellington Street W,43.6482242111,-79.3834749869,3,thai,Southeast Asian
178,lbdW9Ex2xjYbVJaHgWwe7A,Dundas Garden,473 Dundas St W,43.6530506,-79.3968456,1.5,chinese,East Asian
179,0BW6h-igJinzbqc-prYUaQ,Hy's Steakhouse & Cocktail Bar,120 Adelaide Street W,43.6497314445,-79.3829549791,3.5,steakhouse,American
180,3xUoXuEgJhHlSgBsSfKeCQ,W Burger Bar,10 College Street,43.6614908,-79.3835448,3.5,burgers,American
181,NYpnwc4yt44SkcBb9dlhtA,Bourbon St Grill,1800 Sheppard Avenue E_ Unit F004,43.7787787,-79.3447208,3.5,barbeque,American
182,YPLJPAHy_byhlrwceIbN9Q,Tim Hortons,246 Bloor Street W,43.6682968,-79.3977184,2.5,sandwiches,Northern European
183,e-YnECeZNt8ngm0tu4X9mQ,Korean Grill House,369 Yonge Street,43.6585068,-79.3814547,3,korean,East Asian
184,guFIqSvxlwQnFfe301wg3A,Duggan's Brewery,1346 Queen Street W,43.641536,-79.432141,3,canadian,Canadian
185,ECPWFe93D_VWHfsnkVBydg,Rustic Cosmo Cafe,1278 Queen Street W,43.6420723,-79.4299737,3.5,sandwiches,Northern European
186,7NaoYUOJ3HAPKMt3aF91hw,Sushi D,671 College Street,43.6550406,-79.4170586,3,sushi,East Asian
187,5X3dzKWnBdV-KmxdGEPb_Q,Chito's Pizza,1308 Bloor Street W,43.6585058,-79.4425128,4,pizza,American
188,8VHLeEC7kH6nwn1HnqwMKQ,Dang Good BBQ,,43.6623015,-79.3894938,5,barbeque,American
189,G9jwU3O0HOXTHt43eJi2mg,Imanishi Japanese Kitchen,1330 Dundas Street W,43.6496911,-79.4265439,4,japanese,East Asian
190,EpHPxId6RNVHbYLqBGQiSQ,Popeyes Louisiana Kitchen,2000 Eglinton Avenue E,43.7290356355,-79.2843654379,2.5,cajun/creole,Western European
191,aHQOfN-PRlx_4dnJ6fPZXA,Patties Express,4 Elm Street,43.6578559,-79.381882,4,carribean,African
192,nYg54aDTwBvO022bqZgjRw,Hero Certified Burgers - Beaches,2018 Queen St. E.,43.6703477,-79.2990918,2.5,burgers,American
193,nb2Bpt5uGGZvNhnkEGMnpw,The Irv Gastro Pub,195 Carlton Street,43.6635399,-79.3705826,4.5,burgers,American
194,eUi3O-8Gqh_nJ_ZhO-25gQ,Get & Go Burrito,1077 Wilson Avenue_ Unit 8,43.726656,-79.480365,4,mexican,Latin American
195,MOB5oCEKCw3S76SsiuQjqA,Mary Be Kitchen,21B St. Clair Avenue W,43.6877288,-79.3950737,4.5,canadian,Canadian
196,KX0Dt0CcPdWrSn6ThJ-6Lw,Shawarma Grill Xpress,1197 The Queensway_ Unit 2,43.6216183124,-79.5225061194,3.5,lebanese,Middle Eastern
197,-uqIK0vIzD_7PrnCgwhlHA,The Golden Burrito,2215 Steeles Avenue W_ Suite 2,43.7852360621,-79.4776351599,3.5,mexican,Latin American
198,DQbbE26lEFq4rEFSaEEhRg,Swiss Chalet Rotisserie & Grill,853 Milner Ave,43.8001625,-79.1984323,2,american,American
